size,Triton,Torch
4096.000000,6.887893,7.456311
8192.000000,17.757226,18.340299
16384.000000,38.280374,37.925927
32768.000000,61.286783,63.503880
65536.000000,99.902435,100.105904
131072.000000,138.847451,143.719292
262144.000000,178.410162,176.488333
524288.000000,204.800005,192.658506
1048576.000000,219.428568,219.428568
2097152.000000,228.083530,229.213637
4194304.000000,233.258791,236.805788
8388608.000000,235.177028,239.091589
16777216.000000,237.198614,242.128075
33554432.000000,238.024212,243.199754
67108864.000000,239.127931,242.779784
134217728.000000,239.655119,244.365155
268435456.000000,239.273154,243.293209
536870912.000000,239.804405,244.727563
