N,Triton,Torch
256.000000,153.840381,211.152013
384.000000,214.644459,218.932707
512.000000,218.229756,218.195563
640.000000,218.087243,214.680491
768.000000,219.450238,215.450042
896.000000,219.418845,212.589920
1024.000000,220.593187,212.646491
1152.000000,224.338761,147.909453
1280.000000,225.748687,161.841359
1408.000000,224.048366,175.451352
1536.000000,225.734415,186.812504
1664.000000,224.669877,197.751902
1792.000000,226.022049,210.144155
1920.000000,225.278816,220.669589
2048.000000,225.639632,228.701202
2176.000000,227.476542,232.558081
2304.000000,227.264329,238.176276
2432.000000,227.136859,240.728596
2560.000000,227.407520,241.418090
2688.000000,227.079490,241.591489
2816.000000,227.380729,242.578107
2944.000000,227.072447,241.922933
3072.000000,226.840606,242.403423
3200.000000,226.933286,241.848921
3328.000000,227.306931,241.874774
3456.000000,227.037762,241.858916
3584.000000,227.381371,242.373008
3712.000000,227.035926,242.186397
3840.000000,227.430537,242.260163
3968.000000,227.118867,242.263517
4096.000000,227.987211,242.420803
4224.000000,228.281129,178.911140
4352.000000,228.093329,186.808686
4480.000000,228.052093,179.727369
4608.000000,228.709219,185.243290
4736.000000,228.443869,194.296246
4864.000000,227.963653,216.876963
4992.000000,227.941141,232.697026
5120.000000,228.006717,235.668374
5248.000000,227.529865,238.688572
5376.000000,227.862632,240.067904
5504.000000,227.407278,240.421955
5632.000000,227.390949,240.549428
5760.000000,227.260810,240.698546
5888.000000,227.197240,240.733599
6016.000000,227.316845,240.341937
6144.000000,227.065076,240.583089
6272.000000,226.628926,240.038226
6400.000000,227.136744,240.135481
6528.000000,226.772719,240.214910
6656.000000,226.755422,240.257902
6784.000000,226.820305,239.888395
6912.000000,226.330478,239.864372
7040.000000,226.921125,239.516080
7168.000000,226.598957,240.008078
7296.000000,226.856497,239.157080
7424.000000,226.790400,192.584486
7552.000000,194.184992,235.790777
7680.000000,226.970616,238.897055
7808.000000,226.519456,238.716115
7936.000000,226.903157,238.984464
8064.000000,226.404446,238.542506
8192.000000,226.933817,235.942647
8320.000000,224.916648,192.692788
8448.000000,225.062305,195.779162
8576.000000,224.677733,191.117917
8704.000000,225.082979,195.405147
8832.000000,223.955246,190.973942
8960.000000,224.607328,192.417632
9088.000000,224.351778,191.822795
9216.000000,223.438137,193.201729
9344.000000,223.314001,193.961883
9472.000000,224.618828,196.277391
9600.000000,224.071056,197.842759
9728.000000,224.253113,200.263673
9856.000000,224.141214,201.436126
9984.000000,224.530882,203.391936
10112.000000,223.629777,205.014585
10240.000000,223.670847,208.619901
10368.000000,223.286127,208.800595
10496.000000,224.403113,192.099509
10624.000000,196.011294,194.013322
10752.000000,224.185163,215.884812
10880.000000,224.572003,216.496721
11008.000000,224.967762,218.511206
11136.000000,224.832439,220.133608
11264.000000,225.056683,222.659012
11392.000000,224.866183,222.908729
11520.000000,224.953980,223.758619
11648.000000,225.052630,225.495862
11776.000000,225.602906,227.761602
11904.000000,225.101489,228.185999
12032.000000,224.948470,230.118373
12160.000000,224.754237,231.357281
12288.000000,225.643890,198.276550
12416.000000,225.351326,199.837577
12544.000000,225.109093,198.442012
12672.000000,225.133190,195.983923
