size,Triton,Torch
4096.000000,8.041885,8.041885
8192.000000,22.925373,24.000000
16384.000000,48.000000,47.261538
32768.000000,73.142858,71.028905
65536.000000,118.153847,118.438549
131072.000000,153.600004,153.600004
262144.000000,192.000000,189.410407
524288.000000,216.290430,198.593945
1048576.000000,223.418180,225.726752
2097152.000000,229.682243,232.054296
4194304.000000,234.057145,237.880216
8388608.000000,235.758678,240.095242
16777216.000000,237.449270,242.277262
33554432.000000,238.254062,242.417289
67108864.000000,238.677749,243.340850
134217728.000000,238.892439,244.528990
